start,end,duration,pitch,velocity,instrument,instr program,midi channel
0.617,0.675,0.058,62,31,Piano right,0,0
0.844,0.899,0.055,62,35,Piano right,0,0
1.0659999999999998,1.121,0.056,62,39,Piano right,0,0
1.291,1.3479999999999999,0.057,62,37,Piano right,0,0
1.518,1.575,0.057,62,34,Piano right,0,0
1.745,1.802,0.057,62,32,Piano right,0,0
1.976,2.034,0.058,62,31,Piano right,0,0
2.2030000000000003,2.258,0.055,62,35,Piano right,0,0
2.426,2.482,0.056,62,39,Piano right,0,0
2.651,2.708,0.057,62,37,Piano right,0,0
2.879,2.935,0.057,62,34,Piano right,0,0
3.106,3.163,0.057,62,32,Piano right,0,0
3.336,3.395,0.058,62,31,Piano right,0,0
3.564,3.619,0.055,62,35,Piano right,0,0
3.786,3.842,0.056,62,39,Piano right,0,0
4.011,4.067,0.056,62,37,Piano right,0,0
4.237,4.2940000000000005,0.057,62,40,Piano right,0,0
4.465,4.522,0.057,62,37,Piano right,0,0
4.692,4.749,0.057,62,41,Piano right,0,0
4.917,4.972,0.056,62,35,Piano right,0,0
5.139,5.194,0.056,62,39,Piano right,0,0
5.362,5.419,0.056,62,34,Piano right,0,0
5.588,5.645,0.057,62,38,Piano right,0,0
5.816,5.875,0.059,62,37,Piano right,0,0
6.052,6.112,0.06,62,30,Piano right,0,0
6.281,6.337,0.055,62,35,Piano right,0,0
6.503,6.559,0.056,62,36,Piano right,0,0
6.728,6.785,0.057,62,31,Piano right,0,0
6.956,7.012,0.057,62,36,Piano right,0,0
7.183,7.24,0.057,62,33,Piano right,0,0
7.413,7.472,0.058,62,37,Piano right,0,0
7.64,7.694,0.055,62,35,Piano right,0,0
7.861,7.917,0.056,62,39,Piano right,0,0
8.087,8.143,0.057,62,37,Piano right,0,0
8.314,8.371,0.057,62,34,Piano right,0,0
8.541,8.598,0.057,62,32,Piano right,0,0
8.771,8.83,0.058,62,31,Piano right,0,0
8.999,9.054,0.055,62,35,Piano right,0,0
9.222,9.277,0.056,62,39,Piano right,0,0
9.446,9.503,0.056,62,37,Piano right,0,0
9.673,9.729,0.057,62,40,Piano right,0,0
9.9,9.957,0.057,62,37,Piano right,0,0
10.127,10.184,0.057,62,41,Piano right,0,0
10.352,10.407,0.056,62,35,Piano right,0,0
10.574,10.63,0.056,62,43,Piano right,0,0
10.798,10.854,0.056,62,37,Piano right,0,0
11.023,11.08,0.057,62,44,Piano right,0,0
11.253,11.313,0.06,62,39,Piano right,0,0
11.49,11.549,0.059,62,31,Piano right,0,0
11.717,11.772,0.055,62,35,Piano right,0,0
11.938,11.994,0.056,62,39,Piano right,0,0
12.163,12.22,0.057,62,37,Piano right,0,0
12.391,12.447,0.057,62,34,Piano right,0,0
12.618,12.675,0.057,62,32,Piano right,0,0
12.848,12.907,0.058,62,31,Piano right,0,0
13.075,13.13,0.055,62,35,Piano right,0,0
13.297,13.353,0.056,62,39,Piano right,0,0
13.522,13.579,0.057,62,37,Piano right,0,0
13.749,13.806,0.057,62,34,Piano right,0,0
13.977,14.034,0.057,62,32,Piano right,0,0
