start,end,duration,pitch,velocity,instrument,instr program,midi channel
0.0,0.5,0.5,69,0,shadow,1,1
0.55,1.0,0.45,31,95,untitled,0,9
1.0,1.5,0.5,31,95,untitled,0,9
1.5,2.0,0.5,31,95,untitled,0,9
2.0,2.5,0.5,31,95,untitled,0,9
2.5,2.75,0.25,35,95,untitled,0,9
2.5,2.75,0.25,49,95,untitled,0,9
2.75,3.0,0.25,42,95,untitled,0,9
3.0,3.25,0.25,40,95,untitled,0,9
3.0,3.25,0.25,39,95,untitled,0,9
3.0,3.25,0.25,42,95,untitled,0,9
3.25,3.5,0.25,42,95,untitled,0,9
3.5,3.75,0.25,42,95,untitled,0,9
3.5,3.75,0.25,35,95,untitled,0,9
3.75,4.0,0.25,42,95,untitled,0,9
4.0,4.25,0.25,40,95,untitled,0,9
4.0,4.25,0.25,39,95,untitled,0,9
4.0,4.25,0.25,42,95,untitled,0,9
4.25,4.375,0.125,42,95,untitled,0,9
4.375,4.5,0.125,42,95,untitled,0,9
4.5,4.75,0.25,35,95,untitled,0,9
4.5,4.75,0.25,42,95,untitled,0,9
4.75,5.0,0.25,42,95,untitled,0,9
5.0,5.25,0.25,40,95,untitled,0,9
5.0,5.25,0.25,39,95,untitled,0,9
5.0,5.25,0.25,42,95,untitled,0,9
5.25,5.5,0.25,42,95,untitled,0,9
5.5,5.75,0.25,42,95,untitled,0,9
5.5,5.75,0.25,35,95,untitled,0,9
5.75,6.0,0.25,42,95,untitled,0,9
6.0,6.25,0.25,42,95,untitled,0,9
6.0,6.25,0.25,39,95,untitled,0,9
6.0,6.25,0.25,40,95,untitled,0,9
6.25,6.375,0.125,42,95,untitled,0,9
6.375,6.5,0.125,42,95,untitled,0,9
6.5,6.75,0.25,35,95,untitled,0,9
6.5,6.75,0.25,42,95,untitled,0,9
6.75,7.0,0.25,42,95,untitled,0,9
7.0,7.25,0.25,39,95,untitled,0,9
7.0,7.25,0.25,40,95,untitled,0,9
7.0,7.25,0.25,42,95,untitled,0,9
7.25,7.5,0.25,42,95,untitled,0,9
7.5,7.75,0.25,35,95,untitled,0,9
7.5,7.75,0.25,42,95,untitled,0,9
7.75,8.0,0.25,42,95,untitled,0,9
8.0,8.25,0.25,40,95,untitled,0,9
8.0,8.25,0.25,42,95,untitled,0,9
8.0,8.25,0.25,39,95,untitled,0,9
8.25,8.375,0.125,42,95,untitled,0,9
8.375,8.5,0.125,42,95,untitled,0,9
8.5,8.75,0.25,35,95,untitled,0,9
8.5,8.75,0.25,42,95,untitled,0,9
8.75,9.0,0.25,42,95,untitled,0,9
9.0,9.25,0.25,40,95,untitled,0,9
9.0,9.25,0.25,42,95,untitled,0,9
9.0,9.25,0.25,39,95,untitled,0,9
9.25,9.5,0.25,42,95,untitled,0,9
9.5,9.625,0.125,35,95,untitled,0,9
9.5,9.625,0.125,42,47,untitled,0,9
9.625,9.75,0.125,42,95,untitled,0,9
9.75,10.0,0.25,42,95,untitled,0,9
10.0,10.25,0.25,39,95,untitled,0,9
10.0,10.25,0.25,40,95,untitled,0,9
10.0,10.25,0.25,42,95,untitled,0,9
