start,end,duration,pitch,velocity,instrument,instr program,midi channel
1.709,3.08,1.371,59,33,,0,0
1.709,3.08,1.371,66,35,,0,0
1.709,3.08,1.371,62,33,,0,0
0.852,3.166,2.314,43,54,,0,0
4.2379999999999995,5.609,1.372,61,27,,0,0
4.2379999999999995,5.609,1.372,66,29,,0,0
4.2379999999999995,5.609,1.372,57,27,,0,0
3.423,5.679,2.256,38,46,,0,0
6.511,7.882,1.371,59,31,,0,0
6.511,7.882,1.371,66,33,,0,0
6.511,7.882,1.371,62,31,,0,0
5.867,7.968,2.101,43,43,,0,0
8.932,10.115,1.183,57,21,,0,0
8.932,10.115,1.183,66,23,,0,0
8.932,10.115,1.183,61,21,,0,0
8.225,10.224,1.999,38,39,,0,0
11.367,11.936,0.569,78,66,,0,0
11.346,12.45,1.104,59,41,,0,0
11.346,12.45,1.104,66,41,,0,0
11.346,12.45,1.104,62,41,,0,0
10.536,12.536,2.001,43,54,,0,0
11.954,12.775,0.821,81,74,,0,0
12.811,13.47,0.659,79,71,,0,0
13.498,14.166,0.668,78,63,,0,0
13.48,14.626,1.146,57,32,,0,0
13.48,14.626,1.146,66,32,,0,0
13.48,14.626,1.146,61,32,,0,0
12.793,14.694,1.901,38,50,,0,0
14.184,14.884,0.701,73,52,,0,0
14.905,15.66,0.756,71,47,,0,0
15.571,16.523,0.953,73,58,,0,0
15.553,16.942,1.39,59,35,,0,0
15.553,16.942,1.39,66,35,,0,0
15.553,16.942,1.39,62,35,,0,0
14.885,17.031,2.146,43,45,,0,0
16.432000000000002,17.29,0.858,74,64,,0,0
18.147,19.632,1.485,61,28,,0,0
18.147,19.632,1.485,66,28,,0,0
18.147,19.632,1.485,57,28,,0,0
17.29,19.729,2.44,38,36,,0,0
17.308,20.01,2.703,69,56,,0,0
19.993,20.851,0.858,66,35,,0,0
20.851,22.221,1.371,59,27,,0,0
20.851,22.221,1.371,62,27,,0,0
19.993,22.307,2.315,43,38,,0,0
20.851,23.379,2.528,66,48,,0,0
23.379,24.75,1.371,57,25,,0,0
23.379,24.75,1.371,61,25,,0,0
22.565,24.835,2.271,38,37,,0,0
23.379,25.57,2.191,66,33,,0,0
25.57,26.687,1.117,59,20,,0,0
25.57,26.687,1.117,62,20,,0,0
25.093,26.777,1.684,43,41,,0,0
25.57,27.992,2.421,66,35,,0,0
27.061,29.472,2.411,38,33,,0,0
27.992,29.66,1.668,57,22,,0,0
27.992,29.66,1.668,66,28,,0,0
27.992,29.66,1.668,61,22,,0,0
30.732,31.528,0.796,78,56,,0,0
30.715,32.043,1.328,59,33,,0,0
30.715,32.043,1.328,66,34,,0,0
30.715,32.043,1.328,62,33,,0,0
29.802,32.129000000000005,2.327,43,42,,0,0
31.547,32.385000000000005,0.839,81,65,,0,0
32.403999999999996,33.199,0.796,79,61,,0,0
33.218,33.864,0.645,78,51,,0,0
33.2,34.421,1.221,61,27,,0,0
33.2,34.421,1.221,66,29,,0,0
33.2,34.421,1.221,57,27,,0,0
32.385999999999996,34.435,2.049,38,33,,0,0
33.876,34.551,0.675,73,45,,0,0
34.569,35.334,0.766,71,42,,0,0
35.353,36.191,0.839,73,50,,0,0
35.334,36.705,1.371,59,29,,0,0
35.334,36.705,1.371,66,31,,0,0
35.334,36.705,1.371,62,29,,0,0
34.551,36.791,2.241,43,41,,0,0
36.209,37.048,0.839,74,57,,0,0
37.905,39.357,1.452,61,22,,0,0
37.905,39.357,1.452,66,24,,0,0
37.905,39.357,1.452,57,22,,0,0
37.048,40.047,2.999,38,31,,0,0
37.067,40.344,3.278,69,46,,0,0
41.293,42.771,1.479,57,32,,0,0
41.293,42.771,1.479,66,34,,0,0
41.293,42.771,1.479,61,32,,0,0
40.327,42.858,2.531,42,43,,0,0
40.344,43.132,2.788,73,63,,0,0
43.133,44.636,1.504,78,72,,0,0
43.972,45.809,1.837,59,26,,0,0
43.972,45.809,1.837,66,38,,0,0
43.972,45.809,1.837,62,26,,0,0
43.115,46.107,2.992,35,47,,0,0
47.238,48.609,1.371,59,25,,0,0
47.238,48.609,1.371,55,25,,0,0
46.381,48.695,2.314,40,37,,0,0
49.809,51.181,1.372,59,31,,0,0
49.809,51.181,1.372,67,37,,0,0
49.809,51.181,1.372,62,31,,0,0
48.952,51.267,2.315,40,44,,0,0
46.399,53.607,7.208,64,38,,0,0
52.488,54.399,1.911,53,24,,0,0
