start,end,duration,pitch,velocity,instrument,instr program,midi channel
1.496,2.61,1.115,59,33,,0,0
1.496,2.61,1.115,66,35,,0,0
1.496,2.61,1.115,62,33,,0,0
1.321,2.696,1.375,43,54,,0,0
3.811,5.183,1.372,61,27,,0,0
3.811,5.183,1.372,66,29,,0,0
3.811,5.183,1.372,57,27,,0,0
2.954,5.268,2.315,38,46,,0,0
6.34,7.114,0.773,59,31,,0,0
6.34,7.114,0.773,66,33,,0,0
6.34,7.114,0.773,62,31,,0,0
5.526,7.199,1.674,43,43,,0,0
8.378,10.115,1.737,57,21,,0,0
8.378,10.115,1.737,66,23,,0,0
8.378,10.115,1.737,61,21,,0,0
7.457,10.223,2.767,38,39,,0,0
11.538,11.979,0.441,78,66,,0,0
11.517,12.493,0.976,59,41,,0,0
11.517,12.493,0.976,66,41,,0,0
11.517,12.493,0.976,62,41,,0,0
10.536,12.579,2.043,43,54,,0,0
11.997,12.818,0.821,81,74,,0,0
12.854,13.684,0.83,79,71,,0,0
13.711,14.507,0.796,78,63,,0,0
13.693,15.052,1.359,57,32,,0,0
13.693,15.052,1.359,66,32,,0,0
13.693,15.052,1.359,61,32,,0,0
12.836,15.151,2.315,38,50,,0,0
14.526,15.439,0.914,73,52,,0,0
15.459,16.215,0.756,71,47,,0,0
16.125999999999998,17.078,0.953,73,58,,0,0
16.107,17.489,1.382,59,35,,0,0
16.107,17.489,1.382,66,35,,0,0
16.107,17.489,1.382,62,35,,0,0
15.44,17.543,2.103,43,45,,0,0
16.986,17.802,0.815,74,64,,0,0
18.531,20.016,1.485,61,28,,0,0
18.531,20.016,1.485,66,28,,0,0
18.531,20.016,1.485,57,28,,0,0
17.802,20.089,2.287,38,36,,0,0
17.82,20.181,2.361,69,56,,0,0
20.164,20.424,0.26,66,35,,0,0
20.424,21.795,1.371,59,27,,0,0
20.424,21.795,1.371,62,27,,0,0
20.164,21.881,1.717,43,38,,0,0
20.424,22.995,2.571,66,48,,0,0
22.995,24.366,1.371,57,25,,0,0
22.995,24.366,1.371,61,25,,0,0
22.138,24.452,2.314,38,37,,0,0
22.995,25.267,2.272,66,33,,0,0
25.267,26.303,1.035,59,20,,0,0
25.267,26.303,1.035,62,20,,0,0
24.709,26.393,1.684,43,41,,0,0
25.267,27.608,2.341,66,35,,0,0
26.677,29.259,2.582,38,33,,0,0
27.608,29.446,1.839,57,22,,0,0
27.608,29.446,1.839,66,28,,0,0
27.608,29.446,1.839,61,22,,0,0
30.519,31.358,0.839,78,56,,0,0
30.501,31.872,1.371,59,33,,0,0
30.501,31.872,1.371,66,34,,0,0
30.501,31.872,1.371,62,33,,0,0
29.588,31.958,2.37,43,42,,0,0
31.376,32.215,0.839,81,65,,0,0
32.233000000000004,33.071,0.839,79,61,,0,0
33.09,33.856,0.766,78,51,,0,0
33.072,34.432,1.36,61,27,,0,0
33.072,34.432,1.36,66,29,,0,0
33.072,34.432,1.36,57,27,,0,0
32.215,34.531,2.316,38,33,,0,0
33.876,34.764,0.888,73,45,,0,0
34.782,35.548,0.766,71,42,,0,0
35.566,36.404,0.839,73,50,,0,0
35.548,36.792,1.244,59,29,,0,0
35.548,36.792,1.244,66,31,,0,0
35.548,36.792,1.244,62,29,,0,0
34.764,36.806,2.042,43,41,,0,0
36.423,37.048,0.626,74,57,,0,0
37.905,39.314,1.409,61,22,,0,0
37.905,39.314,1.409,66,24,,0,0
37.905,39.314,1.409,57,22,,0,0
37.048,39.407,2.359,38,31,,0,0
37.067,39.704,2.638,69,46,,0,0
40.547,41.747,1.2,57,32,,0,0
40.547,41.747,1.2,66,34,,0,0
40.547,41.747,1.2,61,32,,0,0
39.686,41.833,2.147,42,43,,0,0
39.704,42.108,2.404,73,63,,0,0
42.109,43.399,1.291,78,72,,0,0
42.948,44.539,1.591,59,26,,0,0
42.948,44.539,1.591,66,38,,0,0
42.948,44.539,1.591,62,26,,0,0
42.091,44.656,2.566,35,47,,0,0
45.745,47.116,1.371,59,25,,0,0
45.745,47.116,1.371,55,25,,0,0
44.888,47.201,2.314,40,37,,0,0
48.145,49.517,1.372,59,31,,0,0
48.145,49.517,1.372,67,37,,0,0
48.145,49.517,1.372,62,31,,0,0
47.459,49.603,2.144,40,44,,0,0
44.906,51.349,6.444,64,38,,0,0
50.568,52.052,1.484,53,24,,0,0
50.568,52.052,1.484,62,29,,0,0
50.568,52.052,1.484,57,24,,0,0
49.753,52.159,2.406,38,33,,0,0
52.46,53.159,0.698,69,53,,0,0
53.179,53.973,0.794,71,63,,0,0
53.157,54.358,1.201,60,30,,0,0
53.157,54.358,1.201,64,36,,0,0
53.157,54.358,1.201,57,30,,0,0
52.44,54.444,2.004,33,40,,0,0
53.991,54.703,0.712,72,69,,0,0
54.721,55.474,0.754,76,74,,0,0
55.492,56.332,0.84,74,61,,0,0
55.472,56.865,1.393,55,31,,0,0
55.472,56.865,1.393,64,37,,0,0
55.472,56.865,1.393,59,31,,0,0
54.701,56.948,2.248,38,45,,0,0
56.351,57.166,0.815,71,52,,0,0
57.184,58.009,0.825,74,63,,0,0
58.029,58.875,0.846,72,55,,0,0
58.007,59.462,1.455,59,26,,0,0
58.007,59.462,1.455,52,28,,0,0
58.007,59.462,1.455,64,32,,0,0
58.007,59.462,1.455,55,26,,0,0
57.164,59.549,2.386,38,39,,0,0
58.896,59.808,0.912,71,51,,0,0
60.536,61.908,1.372,57,26,,0,0
