start,end,duration,pitch,velocity,instrument,instr program,midi channel
5.267,12.19,6.923,49,64,Manuale ,53,0
5.267,12.19,6.923,58,64,Manuale ,53,0
5.267,12.19,6.923,53,64,Manuale ,53,0
12.19,14.774,2.585,50,64,Manuale ,53,0
12.19,14.774,2.585,55,64,Manuale ,53,0
14.774,16.231,1.456,49,64,Manuale ,53,0
14.774,16.231,1.456,53,64,Manuale ,53,0
14.774,16.231,1.456,58,64,Manuale ,53,0
16.231,17.639,1.408,52,64,Manuale ,53,0
16.231,17.639,1.408,56,64,Manuale ,53,0
17.639,20.354,2.715,50,64,Manuale ,53,0
5.267,20.354,15.087,47,64,Manuale ,53,0
17.639,20.354,2.715,55,64,Manuale ,53,0
17.639,20.354,2.715,59,64,Manuale ,53,0
20.354,29.767,9.413,54,64,Manuale ,53,0
20.354,29.767,9.413,65,64,Manuale ,53,0
20.354,29.767,9.413,61,64,Manuale ,53,0
29.767,32.183,2.416,52,64,Manuale ,53,0
29.767,32.183,2.416,67,64,Manuale ,53,0
29.767,32.183,2.416,60,64,Manuale ,53,0
32.183,33.919,1.735,65,64,Manuale ,53,0
33.919,35.089,1.169,63,64,Manuale ,53,0
32.183,35.089,2.905,54,64,Manuale ,53,0
32.183,35.089,2.905,61,64,Manuale ,53,0
35.089,37.886,2.797,60,64,Manuale ,53,0
20.354,37.886,17.532,46,64,Manuale ,53,0
35.089,37.886,2.797,64,64,Manuale ,53,0
35.089,37.886,2.797,55,64,Manuale ,53,0
37.886,48.41,10.524,49,64,Manuale ,53,0
37.886,48.41,10.524,53,64,Manuale ,53,0
37.886,48.41,10.524,58,64,Manuale ,53,0
48.411,51.332,2.921,50,64,Manuale ,53,0
48.411,51.332,2.921,55,64,Manuale ,53,0
51.332,53.719,2.386,52,64,Manuale ,53,0
51.332,53.719,2.386,56,64,Manuale ,53,0
37.886,53.719,15.832,47,64,Manuale ,53,0
53.719,56.153,2.433,54,64,Manuale ,53,0
53.719,56.153,2.433,49,64,Manuale ,53,0
53.719,56.153,2.433,61,64,Manuale ,53,0
56.153,58.77,2.618,55,64,Manuale ,53,0
56.153,58.77,2.618,48,64,Manuale ,53,0
56.153,58.77,2.618,64,64,Manuale ,53,0
58.77,64.869,6.099,61,64,Manuale ,53,0
64.869,66.023,1.154,60,64,Manuale ,53,0
66.023,68.331,2.308,59,64,Manuale ,53,0
53.719,68.331,14.612,46,64,Manuale ,53,0
58.77,68.331,9.561,54,64,Manuale ,53,0
68.331,77.209,8.878,53,64,Manuale ,53,0
58.77,77.209,18.439,49,64,Manuale ,53,0
68.331,77.209,8.878,58,64,Manuale ,53,0
77.209,80.144,2.935,50,64,Manuale ,53,0
77.209,80.144,2.935,55,64,Manuale ,53,0
80.144,81.446,1.302,53,64,Manuale ,53,0
80.144,81.446,1.302,49,64,Manuale ,53,0
80.144,81.446,1.302,58,64,Manuale ,53,0
81.446,82.599,1.154,52,64,Manuale ,53,0
81.446,82.599,1.154,56,64,Manuale ,53,0
68.331,85.235,16.904,47,64,Manuale ,53,0
82.6,85.236,2.636,50,64,Manuale ,53,0
82.6,85.236,2.636,59,64,Manuale ,53,0
82.6,85.236,2.636,55,64,Manuale ,53,0
85.236,93.416,8.18,54,64,Manuale ,53,0
85.236,93.416,8.18,61,64,Manuale ,53,0
85.236,93.416,8.18,65,64,Manuale ,53,0
93.417,96.144,2.728,52,64,Manuale ,53,0
93.417,96.144,2.728,60,64,Manuale ,53,0
93.417,96.144,2.728,67,64,Manuale ,53,0
96.144,97.812,1.668,65,64,Manuale ,53,0
97.813,99.006,1.193,63,64,Manuale ,53,0
96.144,99.006,2.861,54,64,Manuale ,53,0
96.144,99.006,2.861,61,64,Manuale ,53,0
99.006,102.033,3.027,60,64,Manuale ,53,0
85.236,102.033,16.797,46,64,Manuale ,53,0
99.006,102.033,3.027,55,64,Manuale ,53,0
99.006,102.033,3.027,64,64,Manuale ,53,0
102.033,112.99,10.957,53,64,Manuale ,53,0
102.033,112.99,10.957,58,64,Manuale ,53,0
102.033,112.99,10.957,49,64,Manuale ,53,0
112.991,115.628,2.638,50,64,Manuale ,53,0
112.991,115.628,2.638,55,64,Manuale ,53,0
102.033,118.234,16.201,47,64,Manuale ,53,0
115.628,118.234,2.606,52,64,Manuale ,53,0
115.628,118.234,2.606,56,64,Manuale ,53,0
118.234,119.471,1.237,54,64,Manuale ,53,0
118.234,119.471,1.237,61,64,Manuale ,53,0
119.471,120.625,1.154,58,64,Manuale ,53,0
119.471,120.625,1.154,66,64,Manuale ,53,0
119.471,120.625,1.154,63,64,Manuale ,53,0
120.626,121.993,1.367,57,64,Manuale ,53,0
120.626,121.993,1.367,64,64,Manuale ,53,0
120.626,121.993,1.367,61,64,Manuale ,53,0
121.993,123.53,1.537,55,64,Manuale ,53,0
121.993,123.53,1.537,60,64,Manuale ,53,0
121.993,123.53,1.537,63,64,Manuale ,53,0
123.53,128.7,5.17,54,64,Manuale ,53,0
123.53,128.7,5.17,61,64,Manuale ,53,0
128.701,131.264,2.564,48,64,Manuale ,53,0
128.701,131.264,2.564,52,64,Manuale ,53,0
128.701,131.264,2.564,57,64,Manuale ,53,0
