start,end,duration,pitch,velocity,instrument,instr program,midi channel
1.0,7.923,6.923,49,64,Manuale ,53,0
1.0,7.923,6.923,58,64,Manuale ,53,0
1.0,7.923,6.923,53,64,Manuale ,53,0
7.923,10.231,2.308,50,64,Manuale ,53,0
7.923,10.231,2.308,55,64,Manuale ,53,0
10.231,11.384,1.154,49,64,Manuale ,53,0
10.231,11.384,1.154,53,64,Manuale ,53,0
10.231,11.384,1.154,58,64,Manuale ,53,0
11.385,12.538,1.153,52,64,Manuale ,53,0
11.385,12.538,1.153,56,64,Manuale ,53,0
12.538,14.845,2.308,50,64,Manuale ,53,0
12.538,14.845,2.308,55,64,Manuale ,53,0
12.538,14.845,2.308,59,64,Manuale ,53,0
1.0,14.846,13.846,47,64,Manuale ,53,0
14.846,21.769,6.923,54,64,Manuale ,53,0
14.846,21.769,6.923,65,64,Manuale ,53,0
14.846,21.769,6.923,61,64,Manuale ,53,0
21.769,24.077,2.308,52,64,Manuale ,53,0
21.769,24.077,2.308,67,64,Manuale ,53,0
21.769,24.077,2.308,60,64,Manuale ,53,0
24.077,25.23,1.154,65,64,Manuale ,53,0
25.231,26.384,1.154,63,64,Manuale ,53,0
24.077,26.384,2.308,54,64,Manuale ,53,0
24.077,26.384,2.308,61,64,Manuale ,53,0
26.385,28.692,2.307,60,64,Manuale ,53,0
14.846,28.692,13.846,46,64,Manuale ,53,0
26.385,28.692,2.307,64,64,Manuale ,53,0
26.385,28.692,2.307,55,64,Manuale ,53,0
28.692,37.922,9.231,49,64,Manuale ,53,0
28.692,37.922,9.231,53,64,Manuale ,53,0
28.692,37.922,9.231,58,64,Manuale ,53,0
37.923,40.231,2.308,50,64,Manuale ,53,0
37.923,40.231,2.308,55,64,Manuale ,53,0
40.231,42.538,2.307,52,64,Manuale ,53,0
40.231,42.538,2.307,56,64,Manuale ,53,0
28.692,42.538,13.846,47,64,Manuale ,53,0
42.538,44.845,2.308,54,64,Manuale ,53,0
42.538,44.845,2.308,49,64,Manuale ,53,0
42.538,44.845,2.308,61,64,Manuale ,53,0
44.846,47.154,2.308,55,64,Manuale ,53,0
44.846,47.154,2.308,48,64,Manuale ,53,0
44.846,47.154,2.308,64,64,Manuale ,53,0
47.154,52.922,5.769,61,64,Manuale ,53,0
52.923,54.077,1.154,60,64,Manuale ,53,0
54.077,56.384,2.308,59,64,Manuale ,53,0
42.538,56.384,13.847,46,64,Manuale ,53,0
47.154,56.384,9.231,54,64,Manuale ,53,0
47.154,63.307,16.154,49,64,Manuale ,53,0
56.385,63.308,6.923,53,64,Manuale ,53,0
56.385,63.308,6.923,58,64,Manuale ,53,0
63.308,65.615,2.307,50,64,Manuale ,53,0
63.308,65.615,2.307,55,64,Manuale ,53,0
65.615,66.845,1.23,53,64,Manuale ,53,0
65.615,66.845,1.23,49,64,Manuale ,53,0
65.615,66.845,1.23,58,64,Manuale ,53,0
66.845,68.349,1.504,52,64,Manuale ,53,0
66.845,68.349,1.504,56,64,Manuale ,53,0
68.349,70.657,2.308,50,64,Manuale ,53,0
56.385,70.657,14.272,47,64,Manuale ,53,0
68.349,70.657,2.308,59,64,Manuale ,53,0
68.349,70.657,2.308,55,64,Manuale ,53,0
70.657,78.22,7.562,54,64,Manuale ,53,0
70.657,78.22,7.562,61,64,Manuale ,53,0
70.657,78.22,7.562,65,64,Manuale ,53,0
78.22,80.528,2.308,52,64,Manuale ,53,0
78.22,80.528,2.308,60,64,Manuale ,53,0
78.22,80.528,2.308,67,64,Manuale ,53,0
80.529,81.681,1.153,65,64,Manuale ,53,0
81.681,82.835,1.154,63,64,Manuale ,53,0
80.529,82.835,2.307,54,64,Manuale ,53,0
80.529,82.835,2.307,61,64,Manuale ,53,0
82.835,85.143,2.308,60,64,Manuale ,53,0
70.657,85.143,14.486,46,64,Manuale ,53,0
82.835,85.143,2.308,55,64,Manuale ,53,0
82.835,85.143,2.308,64,64,Manuale ,53,0
85.143,94.374,9.231,53,64,Manuale ,53,0
85.143,94.374,9.231,58,64,Manuale ,53,0
85.143,94.374,9.231,49,64,Manuale ,53,0
94.374,96.681,2.307,50,64,Manuale ,53,0
94.374,96.681,2.307,55,64,Manuale ,53,0
96.681,98.989,2.308,52,64,Manuale ,53,0
96.681,98.989,2.308,56,64,Manuale ,53,0
85.143,98.989,13.846,47,64,Manuale ,53,0
98.99,100.143,1.154,54,64,Manuale ,53,0
98.99,100.143,1.154,61,64,Manuale ,53,0
100.143,101.297,1.154,58,64,Manuale ,53,0
100.143,101.297,1.154,66,64,Manuale ,53,0
100.143,101.297,1.154,63,64,Manuale ,53,0
101.297,102.451,1.154,57,64,Manuale ,53,0
101.297,102.451,1.154,64,64,Manuale ,53,0
101.297,102.451,1.154,61,64,Manuale ,53,0
102.452,103.604,1.153,55,64,Manuale ,53,0
102.452,103.604,1.153,60,64,Manuale ,53,0
102.452,103.604,1.153,63,64,Manuale ,53,0
103.604,108.22,4.616,54,64,Manuale ,53,0
103.604,108.22,4.616,61,64,Manuale ,53,0
108.22,110.528,2.308,48,64,Manuale ,53,0
108.22,110.528,2.308,52,64,Manuale ,53,0
108.22,110.528,2.308,57,64,Manuale ,53,0
110.529,112.882,2.354,54,64,Manuale ,53,0
98.99,112.882,13.893,46,64,Manuale ,53,0
112.882,114.124,1.242,55,64,Manuale ,53,0
112.882,114.124,1.242,63,64,Manuale ,53,0
110.529,114.124,3.596,58,64,Manuale ,53,0
112.882,115.459,2.577,51,64,Manuale ,53,0
114.124,115.459,1.335,59,64,Manuale ,53,0
114.124,115.459,1.335,63,64,Manuale ,53,0
114.124,115.459,1.335,68,64,Manuale ,53,0
114.124,115.459,1.335,56,64,Manuale ,53,0
115.459,116.673,1.214,54,64,Manuale ,53,0
115.459,116.673,1.214,66,64,Manuale ,53,0
115.459,116.673,1.214,58,64,Manuale ,53,0
115.459,116.673,1.214,61,64,Manuale ,53,0
116.673,117.858,1.185,59,64,Manuale ,53,0
116.673,117.858,1.185,64,64,Manuale ,53,0
116.673,117.858,1.185,52,64,Manuale ,53,0
116.673,117.858,1.185,56,64,Manuale ,53,0
117.858,122.474,4.616,55,64,Manuale ,53,0
117.858,122.474,4.616,58,64,Manuale ,53,0
117.858,122.474,4.616,51,64,Manuale ,53,0
117.858,122.474,4.616,63,64,Manuale ,53,0
122.474,124.781,2.307,50,64,Manuale ,53,0
122.474,124.781,2.307,62,64,Manuale ,53,0
122.474,124.781,2.307,57,64,Manuale ,53,0
122.474,124.781,2.307,54,64,Manuale ,53,0
124.781,128.156,3.374,55,64,Manuale ,53,0
124.781,128.156,3.374,51,64,Manuale ,53,0
110.529,128.156,17.628,49,64,Manuale ,53,0
128.156,129.31,1.154,70,64,Manuale ,53,0
124.781,129.31,4.529,58,64,Manuale ,53,0
124.781,129.31,4.529,63,64,Manuale ,53,0
129.31,130.537,1.227,63,64,Manuale ,53,0
129.31,130.537,1.227,75,64,Manuale ,53,0
128.156,130.538,2.381,66,64,Manuale ,53,0
130.538,133.751,3.214,61,64,Manuale ,53,0
130.538,133.751,3.214,64,64,Manuale ,53,0
130.538,133.751,3.214,69,64,Manuale ,53,0
130.538,133.751,3.214,73,64,Manuale ,53,0
133.752,134.905,1.154,60,64,Manuale ,53,0
133.752,134.905,1.154,63,64,Manuale ,53,0
128.156,134.905,6.749,48,64,Manuale ,53,0
133.752,134.905,1.154,72,64,Manuale ,53,0
133.752,134.905,1.154,67,64,Manuale ,53,0
134.905,137.212,2.307,66,64,Manuale ,53,0
134.905,137.212,2.307,70,64,Manuale ,53,0
134.905,137.212,2.307,58,64,Manuale ,53,0
134.905,137.212,2.307,61,64,Manuale ,53,0
134.905,139.52,4.615,49,64,Manuale ,53,0
137.212,139.52,2.308,57,64,Manuale ,53,0
137.212,139.52,2.308,60,64,Manuale ,53,0
137.212,139.52,2.308,64,64,Manuale ,53,0
137.212,139.52,2.308,69,64,Manuale ,53,0
139.52,141.828,2.308,55,64,Manuale ,53,0
139.52,141.828,2.308,67,64,Manuale ,53,0
139.52,141.828,2.308,63,64,Manuale ,53,0
139.52,141.828,2.308,58,64,Manuale ,53,0
139.52,144.135,4.615,51,64,Manuale ,53,0
141.829,144.135,2.307,57,64,Manuale ,53,0
141.829,144.135,2.307,66,64,Manuale ,53,0
141.829,144.135,2.307,61,64,Manuale ,53,0
141.829,144.135,2.307,54,64,Manuale ,53,0
144.135,146.443,2.308,67,64,Manuale ,53,0
144.135,146.443,2.308,55,64,Manuale ,53,0
144.135,146.443,2.308,58,64,Manuale ,53,0
144.135,146.443,2.308,63,64,Manuale ,53,0
146.443,148.882,2.439,57,64,Manuale ,53,0
146.443,148.882,2.439,66,64,Manuale ,53,0
146.443,148.882,2.439,61,64,Manuale ,53,0
146.443,148.882,2.439,54,64,Manuale ,53,0
144.135,148.882,4.747,52,64,Manuale ,53,0
148.882,151.361,2.479,60,64,Manuale ,53,0
148.882,151.361,2.479,64,64,Manuale ,53,0
148.882,151.361,2.479,55,64,Manuale ,53,0
151.361,153.678,2.317,57,64,Manuale ,53,0
148.882,153.678,4.796,49,64,Manuale ,53,0
151.361,153.678,2.317,66,64,Manuale ,53,0
151.361,153.678,2.317,61,64,Manuale ,53,0
153.679,156.199,2.521,67,64,Manuale ,53,0
153.679,156.199,2.521,63,64,Manuale ,53,0
153.679,156.199,2.521,58,64,Manuale ,53,0
156.199,159.184,2.985,60,64,Manuale ,53,0
153.679,159.184,5.506,48,64,Manuale ,53,0
156.199,159.184,2.985,69,64,Manuale ,53,0
156.199,159.184,2.985,64,64,Manuale ,53,0
159.184,166.474,7.29,61,64,Manuale ,53,0
159.184,166.474,7.29,70,64,Manuale ,53,0
159.184,166.474,7.29,65,64,Manuale ,53,0
166.474,168.782,2.308,62,64,Manuale ,53,0
166.474,168.782,2.308,67,64,Manuale ,53,0
168.782,170.006,1.224,65,64,Manuale ,53,0
168.782,170.006,1.224,61,64,Manuale ,53,0
168.782,170.006,1.224,70,64,Manuale ,53,0
170.006,171.689,1.682,64,64,Manuale ,53,0
170.006,171.689,1.682,68,64,Manuale ,53,0
171.689,174.413,2.724,62,64,Manuale ,53,0
159.184,174.413,15.229,59,64,Manuale ,53,0
171.689,174.413,2.724,67,64,Manuale ,53,0
171.689,174.413,2.724,71,64,Manuale ,53,0
174.413,181.489,7.076,61,64,Manuale ,53,0
174.413,181.489,7.076,77,64,Manuale ,53,0
174.413,181.489,7.076,66,64,Manuale ,53,0
174.413,181.489,7.076,73,64,Manuale ,53,0
181.489,187.519,6.03,60,64,Manuale ,53,0
181.489,187.519,6.03,72,64,Manuale ,53,0
181.489,187.519,6.03,64,64,Manuale ,53,0
181.489,187.519,6.03,79,64,Manuale ,53,0
187.52,189.057,1.537,77,64,Manuale ,53,0
189.057,190.321,1.264,75,64,Manuale ,53,0
187.52,190.321,2.801,66,64,Manuale ,53,0
187.52,190.321,2.801,61,64,Manuale ,53,0
187.52,190.321,2.801,73,64,Manuale ,53,0
190.321,193.059,2.739,67,64,Manuale ,53,0
190.321,193.059,2.739,72,64,Manuale ,53,0
190.321,193.059,2.739,76,64,Manuale ,53,0
190.321,193.059,2.739,60,64,Manuale ,53,0
174.413,193.06,18.647,58,64,Manuale ,53,0
193.06,202.37,9.31,65,64,Manuale ,53,0
193.06,202.37,9.31,61,64,Manuale ,53,0
193.06,202.37,9.31,70,64,Manuale ,53,0
202.37,204.695,2.325,62,64,Manuale ,53,0
202.37,204.695,2.325,67,64,Manuale ,53,0
204.695,207.021,2.326,64,64,Manuale ,53,0
204.695,207.021,2.326,68,64,Manuale ,53,0
193.06,207.021,13.961,59,64,Manuale ,53,0
207.021,209.345,2.324,61,64,Manuale ,53,0
207.021,209.345,2.324,73,64,Manuale ,53,0
207.021,209.345,2.324,66,64,Manuale ,53,0
209.346,213.592,4.246,60,64,Manuale ,53,0
209.346,213.592,4.246,67,64,Manuale ,53,0
209.346,213.592,4.246,76,64,Manuale ,53,0
213.592,218.617,5.024,66,64,Manuale ,53,0
207.021,218.617,11.596,58,64,Manuale ,53,0
213.592,218.617,5.024,73,64,Manuale ,53,0
218.617,220.933,2.316,69,64,Manuale ,53,0
218.617,220.933,2.316,63,64,Manuale ,53,0
220.933,223.591,2.658,70,64,Manuale ,53,0
220.933,223.591,2.658,64,64,Manuale ,53,0
218.617,223.591,4.974,67,64,Manuale ,53,0
213.592,223.591,9.999,61,64,Manuale ,53,0
223.591,225.939,2.348,63,64,Manuale ,53,0
223.591,225.939,2.348,68,64,Manuale ,53,0
223.591,225.939,2.348,75,64,Manuale ,53,0
225.939,229.828,3.889,62,64,Manuale ,53,0
223.591,229.828,6.237,60,64,Manuale ,53,0
225.939,229.828,3.889,78,64,Manuale ,53,0
225.939,229.828,3.889,69,64,Manuale ,53,0
229.829,235.365,5.536,68,64,Manuale ,53,0
229.829,235.365,5.536,63,64,Manuale ,53,0
229.829,235.365,5.536,71,64,Manuale ,53,0
229.829,235.365,5.536,75,64,Manuale ,53,0
235.365,240.036,4.672,65,64,Manuale ,53,0
235.365,240.036,4.672,77,64,Manuale ,53,0
229.829,240.036,10.208,61,64,Manuale ,53,0
235.365,240.036,4.672,69,64,Manuale ,53,0
240.036,242.452,2.416,68,64,Manuale ,53,0
240.036,242.452,2.416,80,64,Manuale ,53,0
240.036,244.75,4.714,62,64,Manuale ,53,0
240.036,244.75,4.714,66,64,Manuale ,53,0
242.453,244.751,2.298,69,64,Manuale ,53,0
242.453,244.751,2.298,81,64,Manuale ,53,0
244.751,247.049,2.299,84,64,Manuale ,53,0
235.365,247.049,11.685,72,64,Manuale ,53,0
247.049,249.348,2.299,70,64,Manuale ,53,0
240.036,249.348,9.312,78,64,Manuale ,53,0
244.751,249.348,4.598,64,64,Manuale ,53,0
244.751,249.348,4.598,73,64,Manuale ,53,0
247.049,249.348,2.299,82,64,Manuale ,53,0
249.348,251.647,2.299,79,64,Manuale ,53,0
249.348,251.647,2.299,67,64,Manuale ,53,0
249.348,251.647,2.299,72,64,Manuale ,53,0
249.348,251.647,2.299,76,64,Manuale ,53,0
251.647,254.082,2.435,66,64,Manuale ,53,0
251.647,254.082,2.435,78,64,Manuale ,53,0
249.348,254.082,4.734,54,64,Manuale ,53,0
251.647,254.082,2.435,75,64,Manuale ,53,0
251.647,254.082,2.435,70,64,Manuale ,53,0
254.082,256.665,2.583,69,64,Manuale ,53,0
254.082,256.665,2.583,64,64,Manuale ,53,0
254.082,256.665,2.583,73,64,Manuale ,53,0
254.082,256.665,2.583,55,64,Manuale ,53,0
254.082,256.665,2.583,76,64,Manuale ,53,0
256.666,259.574,2.909,63,64,Manuale ,53,0
256.666,259.574,2.909,67,64,Manuale ,53,0
256.666,259.574,2.909,75,64,Manuale ,53,0
256.666,259.574,2.909,72,64,Manuale ,53,0
256.666,259.574,2.909,57,64,Manuale ,53,0
259.574,260.756,1.182,61,64,Manuale ,53,0
259.574,260.756,1.182,73,64,Manuale ,53,0
259.574,260.756,1.182,66,64,Manuale ,53,0
260.756,261.914,1.158,66,64,Manuale ,53,0
260.756,261.914,1.158,75,64,Manuale ,53,0
260.756,261.914,1.158,78,64,Manuale ,53,0
259.574,261.914,2.34,70,64,Manuale ,53,0
261.915,263.089,1.174,76,64,Manuale ,53,0
261.915,263.089,1.174,69,64,Manuale ,53,0
261.915,263.089,1.174,64,64,Manuale ,53,0
261.915,263.089,1.174,73,64,Manuale ,53,0
263.089,264.372,1.284,63,64,Manuale ,53,0
263.089,264.372,1.284,72,64,Manuale ,53,0
263.089,264.372,1.284,67,64,Manuale ,53,0
263.089,264.372,1.284,75,64,Manuale ,53,0
264.372,266.953,2.581,61,64,Manuale ,53,0
264.372,266.953,2.581,73,64,Manuale ,53,0
266.954,269.414,2.46,60,64,Manuale ,53,0
264.372,269.414,5.041,70,64,Manuale ,53,0
266.954,269.414,2.46,72,64,Manuale ,53,0
264.372,269.414,5.041,66,64,Manuale ,53,0
269.414,271.836,2.423,71,64,Manuale ,53,0
269.414,271.836,2.423,65,64,Manuale ,53,0
269.414,271.836,2.423,68,64,Manuale ,53,0
269.414,271.836,2.423,59,64,Manuale ,53,0
