start,end,duration,pitch,velocity,instrument,instr program,midi channel
0.0,0.5,0.5,69,0,shadow,1,1
0.5,1.0,0.5,75,80,Voice,85,0
1.0,1.5,0.5,73,80,Voice,85,0
1.5,1.75,0.25,71,80,Voice,85,0
2.5,3.0,0.5,75,80,Voice,85,0
3.0,3.25,0.25,73,80,Voice,85,0
3.25,3.5,0.25,71,80,Voice,85,0
3.75,4.0,0.25,73,80,Voice,85,0
4.0,4.25,0.25,71,80,Voice,85,0
4.5,5.0,0.5,75,80,Voice,85,0
5.0,5.25,0.25,73,80,Voice,85,0
5.25,5.5,0.25,71,80,Voice,85,0
5.5,5.625,0.125,73,80,Voice,85,0
5.625,5.875,0.25,71,80,Voice,85,0
6.5,7.0,0.5,75,80,Voice,85,0
7.0,7.25,0.25,73,80,Voice,85,0
7.25,7.5,0.25,71,80,Voice,85,0
7.75,8.0,0.25,71,80,Voice,85,0
8.0,8.125,0.125,73,80,Voice,85,0
8.125,8.375,0.25,71,80,Voice,85,0
8.5,9.0,0.5,75,80,Voice,85,0
9.0,9.5,0.5,73,80,Voice,85,0
9.5,9.75,0.25,71,80,Voice,85,0
10.5,11.0,0.5,75,80,Voice,85,0
11.0,11.25,0.25,73,80,Voice,85,0
11.25,11.5,0.25,71,80,Voice,85,0
11.75,12.0,0.25,73,80,Voice,85,0
12.0,12.25,0.25,71,80,Voice,85,0
12.5,13.0,0.5,75,80,Voice,85,0
13.0,13.25,0.25,73,80,Voice,85,0
13.25,13.5,0.25,71,80,Voice,85,0
13.5,13.625,0.125,73,80,Voice,85,0
13.625,13.875,0.25,71,80,Voice,85,0
14.5,15.0,0.5,75,80,Voice,85,0
15.0,15.25,0.25,73,80,Voice,85,0
15.25,15.5,0.25,71,80,Voice,85,0
15.75,16.0,0.25,71,80,Voice,85,0
16.0,16.125,0.125,73,80,Voice,85,0
16.125,16.375,0.25,71,80,Voice,85,0
16.5,17.0,0.5,75,80,Voice,85,0
17.0,17.5,0.5,73,80,Voice,85,0
17.5,17.75,0.25,71,80,Voice,85,0
18.5,19.0,0.5,75,80,Voice,85,0
19.0,19.25,0.25,73,80,Voice,85,0
19.25,19.5,0.25,71,80,Voice,85,0
19.75,20.0,0.25,73,80,Voice,85,0
20.0,20.25,0.25,71,80,Voice,85,0
20.5,21.0,0.5,75,80,Voice,85,0
21.0,21.25,0.25,73,80,Voice,85,0
21.25,21.5,0.25,71,80,Voice,85,0
21.5,21.625,0.125,73,80,Voice,85,0
21.625,21.875,0.25,71,80,Voice,85,0
22.5,23.0,0.5,75,80,Voice,85,0
23.0,23.25,0.25,73,80,Voice,85,0
23.25,23.5,0.25,71,80,Voice,85,0
23.75,24.0,0.25,71,80,Voice,85,0
24.0,24.125,0.125,73,80,Voice,85,0
24.125,24.375,0.25,71,80,Voice,85,0
24.5,25.0,0.5,75,80,Voice,85,0
25.0,25.5,0.5,73,80,Voice,85,0
25.5,25.75,0.25,71,80,Voice,85,0
26.5,27.0,0.5,75,80,Voice,85,0
27.0,27.25,0.25,73,80,Voice,85,0
27.25,27.5,0.25,71,80,Voice,85,0
27.75,28.0,0.25,73,80,Voice,85,0
28.0,28.25,0.25,71,80,Voice,85,0
28.5,29.0,0.5,75,80,Voice,85,0
29.0,29.25,0.25,73,80,Voice,85,0
29.25,29.5,0.25,71,80,Voice,85,0
29.5,29.625,0.125,73,80,Voice,85,0
29.625,29.875,0.25,71,80,Voice,85,0
30.5,31.0,0.5,75,80,Voice,85,0
31.0,31.25,0.25,73,80,Voice,85,0
31.25,31.5,0.25,71,80,Voice,85,0
31.75,32.0,0.25,71,80,Voice,85,0
32.0,32.125,0.125,73,80,Voice,85,0
32.125,32.375,0.25,71,80,Voice,85,0
0.5,0.625,0.125,64,80,Lead,81,1
0.875,1.0,0.125,64,80,Lead,81,1
1.25,1.375,0.125,64,80,Lead,81,1
1.5,1.625,0.125,68,80,Lead,81,1
1.875,2.0,0.125,68,80,Lead,81,1
2.25,2.375,0.125,68,80,Lead,81,1
2.5,2.625,0.125,61,80,Lead,81,1
2.875,3.0,0.125,61,80,Lead,81,1
3.25,3.375,0.125,61,80,Lead,81,1
4.0,4.125,0.125,61,80,Lead,81,1
4.5,4.625,0.125,64,80,Lead,81,1
4.875,5.0,0.125,64,80,Lead,81,1
5.25,5.375,0.125,64,80,Lead,81,1
5.5,5.625,0.125,68,80,Lead,81,1
5.875,6.0,0.125,68,80,Lead,81,1
6.25,6.375,0.125,68,80,Lead,81,1
6.5,6.625,0.125,61,80,Lead,81,1
6.875,7.0,0.125,61,80,Lead,81,1
7.25,7.375,0.125,61,80,Lead,81,1
8.0,8.125,0.125,61,80,Lead,81,1
8.5,8.625,0.125,64,80,Lead,81,1
8.875,9.0,0.125,64,80,Lead,81,1
9.25,9.375,0.125,64,80,Lead,81,1
9.5,9.625,0.125,68,80,Lead,81,1
9.875,10.0,0.125,68,80,Lead,81,1
10.25,10.375,0.125,68,80,Lead,81,1
10.5,10.625,0.125,61,80,Lead,81,1
10.875,11.0,0.125,61,80,Lead,81,1
11.25,11.375,0.125,61,80,Lead,81,1
12.0,12.125,0.125,61,80,Lead,81,1
12.5,12.625,0.125,64,80,Lead,81,1
12.875,13.0,0.125,64,80,Lead,81,1
13.25,13.375,0.125,64,80,Lead,81,1
13.5,13.625,0.125,68,80,Lead,81,1
13.875,14.0,0.125,68,80,Lead,81,1
14.25,14.375,0.125,68,80,Lead,81,1
14.5,14.625,0.125,61,80,Lead,81,1
14.875,15.0,0.125,61,80,Lead,81,1
15.25,15.375,0.125,61,80,Lead,81,1
16.0,16.125,0.125,61,80,Lead,81,1
16.5,16.75,0.25,68,80,Lead,81,1
16.5,16.75,0.25,64,80,Lead,81,1
16.875,17.125,0.25,68,80,Lead,81,1
16.875,17.125,0.25,64,80,Lead,81,1
17.25,17.5,0.25,64,80,Lead,81,1
17.25,17.5,0.25,68,80,Lead,81,1
17.5,17.75,0.25,71,80,Lead,81,1
17.5,17.75,0.25,68,80,Lead,81,1
17.875,18.125,0.25,71,80,Lead,81,1
17.875,18.125,0.25,68,80,Lead,81,1
18.25,18.5,0.25,68,80,Lead,81,1
18.25,18.5,0.25,71,80,Lead,81,1
18.5,18.75,0.25,64,80,Lead,81,1
18.5,18.75,0.25,61,80,Lead,81,1
18.875,19.125,0.25,64,80,Lead,81,1
18.875,19.125,0.25,61,80,Lead,81,1
19.25,19.5,0.25,64,80,Lead,81,1
19.25,19.5,0.25,61,80,Lead,81,1
20.0,20.25,0.25,64,80,Lead,81,1
20.0,20.25,0.25,61,80,Lead,81,1
20.5,20.75,0.25,68,80,Lead,81,1
20.5,20.75,0.25,64,80,Lead,81,1
20.875,21.125,0.25,68,80,Lead,81,1
20.875,21.125,0.25,64,80,Lead,81,1
21.25,21.5,0.25,64,80,Lead,81,1
21.25,21.5,0.25,68,80,Lead,81,1
21.5,21.75,0.25,71,80,Lead,81,1
21.5,21.75,0.25,68,80,Lead,81,1
21.875,22.125,0.25,71,80,Lead,81,1
21.875,22.125,0.25,68,80,Lead,81,1
22.25,22.5,0.25,68,80,Lead,81,1
22.25,22.5,0.25,71,80,Lead,81,1
22.5,22.75,0.25,64,80,Lead,81,1
22.5,22.75,0.25,61,80,Lead,81,1
22.875,23.125,0.25,64,80,Lead,81,1
22.875,23.125,0.25,61,80,Lead,81,1
23.25,23.5,0.25,61,80,Lead,81,1
23.25,23.5,0.25,64,80,Lead,81,1
24.0,24.25,0.25,64,80,Lead,81,1
