start,end,duration,pitch,velocity,instrument,instr program,midi channel
26.384,27.185,0.801,76,89,voix,53,0
27.174,27.948,0.774,72,75,voix,53,0
28.008,31.292,3.283,76,93,voix,53,0
32.131,32.473,0.342,74,71,voix,53,0
32.591,33.101,0.51,72,86,voix,53,0
33.008,33.344,0.336,74,69,voix,53,0
33.424,33.817,0.393,76,93,voix,53,0
33.841,34.688,0.847,72,93,voix,53,0
34.674,36.008,1.334,69,80,voix,53,0
36.427,39.426,2.999,64,80,voix,53,0
39.717,40.518,0.802,76,95,voix,53,0
40.551,41.393,0.843,72,84,voix,53,0
41.384,44.759,3.376,74,84,voix,53,0
45.593,45.926,0.333,72,80,voix,53,0
46.009,46.343,0.334,69,80,voix,53,0
46.427,46.759,0.333,72,80,voix,53,0
46.843,47.176,0.333,69,80,voix,53,0
47.259,47.926,0.667,72,80,voix,53,0
48.093,52.759,4.666,71,80,voix,53,0
53.509,54.176,0.667,76,80,voix,53,0
54.343,54.676,0.333,72,80,voix,53,0
54.759,55.093,0.334,76,80,voix,53,0
55.177,55.843,0.667,76,80,voix,53,0
56.009,57.759,1.75,76,80,voix,53,0
58.884,59.183,0.299,74,71,voix,53,0
59.301,59.81,0.51,72,86,voix,53,0
59.717,60.054,0.337,74,69,voix,53,0
60.134,60.526,0.392,76,93,voix,53,0
60.551,61.397,0.847,72,93,voix,53,0
61.384,62.759,1.376,69,80,voix,53,0
63.093,66.093,3.0,64,80,voix,53,0
67.217,67.883,0.667,64,80,voix,53,0
68.051,68.831,0.781,67,79,voix,53,0
68.884,69.276,0.392,64,79,voix,53,0
69.301,69.692,0.392,67,78,voix,53,0
69.717,70.546,0.83,69,93,voix,53,0
70.551,71.404,0.854,72,78,voix,53,0
71.384,71.776,0.392,76,73,voix,53,0
71.801,73.051,1.25,74,77,voix,53,0
73.051,74.691,1.641,72,86,voix,53,0
74.717,81.11,6.393,69,107,voix,53,0
86.384,86.785,0.401,76,80,voix,53,0
86.897,87.341,0.444,76,80,voix,53,0
87.452,87.897,0.445,72,80,voix,53,0
88.008,91.298,3.29,76,93,voix,53,0
92.131,92.43,0.299,74,71,voix,53,0
92.548,93.058,0.51,72,86,voix,53,0
92.966,93.302,0.336,74,69,voix,53,0
93.381,93.774,0.393,76,93,voix,53,0
93.798,94.688,0.89,72,93,voix,53,0
94.674,96.008,1.334,69,80,voix,53,0
96.427,99.427,3.0,64,80,voix,53,0
99.751,100.519,0.768,76,95,voix,53,0
100.551,101.393,0.843,72,84,voix,53,0
101.384,104.717,3.333,74,84,voix,53,0
105.551,105.883,0.333,72,80,voix,53,0
105.967,106.301,0.334,69,80,voix,53,0
106.384,106.717,0.333,72,80,voix,53,0
106.801,107.133,0.333,69,80,voix,53,0
107.217,107.883,0.667,72,80,voix,53,0
108.051,112.759,4.708,71,80,voix,53,0
113.509,114.176,0.667,76,80,voix,53,0
114.343,114.676,0.333,72,80,voix,53,0
114.759,115.093,0.334,76,80,voix,53,0
115.177,115.843,0.667,76,80,voix,53,0
116.009,117.759,1.75,76,80,voix,53,0
118.884,119.183,0.299,74,71,voix,53,0
119.301,119.81,0.51,72,86,voix,53,0
119.717,120.054,0.337,74,69,voix,53,0
120.134,120.526,0.392,76,93,voix,53,0
120.551,121.397,0.847,72,93,voix,53,0
121.384,122.759,1.376,69,80,voix,53,0
123.093,126.093,3.0,64,80,voix,53,0
127.259,127.926,0.667,64,80,voix,53,0
128.083,128.832,0.748,67,79,voix,53,0
128.884,129.276,0.392,64,79,voix,53,0
129.301,129.692,0.392,67,78,voix,53,0
129.717,130.504,0.787,69,93,voix,53,0
130.508,131.362,0.854,72,78,voix,53,0
131.341,131.733,0.392,76,73,voix,53,0
131.758,132.966,1.207,74,77,voix,53,0
132.966,134.599,1.633,72,86,voix,53,0
134.631,150.008,15.377,69,107,voix,53,0
1.384,1.886,0.503,51,98,gtr,24,1
1.801,2.123,0.323,48,69,gtr,24,1
2.217,2.717,0.5,51,77,gtr,24,1
2.634,2.908,0.274,50,71,gtr,24,1
3.051,3.473,0.423,48,75,gtr,24,1
3.467,3.69,0.223,45,57,gtr,24,1
3.884,4.37,0.486,48,50,gtr,24,1
4.301,4.577,0.277,50,77,gtr,24,1
6.801,6.926,0.125,45,69,gtr,24,1
4.717,7.176,2.459,52,79,gtr,24,1
7.217,7.744,0.528,48,82,gtr,24,1
7.634,7.953,0.319,50,82,gtr,24,1
8.093,9.284,1.191,52,78,gtr,24,1
9.717,10.23,0.514,69,93,gtr,24,1
10.134,10.433,0.299,65,71,gtr,24,1
10.551,11.022,0.472,62,76,gtr,24,1
10.967,11.32,0.354,59,62,gtr,24,1
11.384,11.915,0.531,67,89,gtr,24,1
11.801,12.112,0.312,64,66,gtr,24,1
12.217,12.738,0.521,60,37,gtr,24,1
12.634,12.915,0.281,57,86,gtr,24,1
13.051,13.841,0.791,54,82,gtr,24,1
13.051,14.383,1.333,40,80,gtr,24,1
13.884,14.676,0.792,56,84,gtr,24,1
14.717,15.57,0.854,54,84,gtr,24,1
15.551,16.323999999999998,0.774,56,84,gtr,24,1
16.384,17.252,0.868,54,84,gtr,24,1
14.717,17.383,2.667,40,80,gtr,24,1
17.217,18.005,0.789,56,89,gtr,24,1
18.051,19.383,1.333,54,79,gtr,24,1
18.051,19.383,1.333,60,77,gtr,24,1
18.051,19.383,1.333,64,91,gtr,24,1
18.051,19.383,1.333,45,86,gtr,24,1
19.759,21.093,1.334,56,79,gtr,24,1
19.759,21.093,1.334,64,98,gtr,24,1
19.759,21.093,1.334,47,53,gtr,24,1
19.759,21.093,1.334,62,75,gtr,24,1
21.427,22.759,1.333,54,79,gtr,24,1
21.427,22.759,1.333,60,77,gtr,24,1
21.427,22.759,1.333,64,91,gtr,24,1
21.427,22.759,1.333,45,86,gtr,24,1
23.093,24.426,1.333,62,75,gtr,24,1
23.093,24.426,1.333,47,53,gtr,24,1
23.093,24.426,1.333,56,79,gtr,24,1
23.093,24.426,1.333,64,98,gtr,24,1
24.759,26.051,1.291,60,77,gtr,24,1
24.759,26.051,1.291,64,91,gtr,24,1
24.759,26.051,1.291,45,86,gtr,24,1
24.759,26.051,1.291,54,79,gtr,24,1
26.384,27.674,1.29,47,53,gtr,24,1
26.384,27.674,1.29,64,98,gtr,24,1
26.384,27.674,1.29,56,79,gtr,24,1
26.384,27.674,1.29,62,75,gtr,24,1
28.008,29.213,1.205,54,79,gtr,24,1
28.008,29.213,1.205,60,77,gtr,24,1
28.008,29.213,1.205,64,91,gtr,24,1
28.008,29.213,1.205,45,86,gtr,24,1
29.546,30.88,1.334,62,75,gtr,24,1
29.546,30.88,1.334,47,53,gtr,24,1
29.546,30.88,1.334,56,79,gtr,24,1
29.546,30.88,1.334,64,98,gtr,24,1
31.292,32.674,1.382,54,79,gtr,24,1
31.292,32.674,1.382,45,86,gtr,24,1
31.292,32.674,1.382,60,77,gtr,24,1
31.292,32.674,1.382,64,91,gtr,24,1
33.008,34.341,1.333,62,75,gtr,24,1
33.008,34.341,1.333,64,98,gtr,24,1
33.008,34.341,1.333,47,53,gtr,24,1
33.008,34.341,1.333,56,79,gtr,24,1
34.674,36.008,1.334,64,91,gtr,24,1
34.674,36.008,1.334,45,86,gtr,24,1
34.674,36.008,1.334,54,79,gtr,24,1
34.674,36.008,1.334,60,77,gtr,24,1
36.427,37.759,1.333,47,53,gtr,24,1
36.427,37.759,1.333,62,75,gtr,24,1
36.427,37.759,1.333,56,79,gtr,24,1
36.427,37.759,1.333,64,98,gtr,24,1
38.093,39.426,1.333,60,77,gtr,24,1
38.093,39.426,1.333,45,86,gtr,24,1
38.093,39.426,1.333,64,91,gtr,24,1
38.093,39.426,1.333,54,79,gtr,24,1
39.717,40.383,0.667,62,82,gtr,24,1
39.717,40.383,0.667,47,86,gtr,24,1
39.717,40.383,0.667,56,77,gtr,24,1
39.717,40.383,0.667,64,86,gtr,24,1
