start,end,duration,pitch,velocity,instrument,instr program,midi channel
24.72,25.393,0.673,76,89,voix,53,0
25.382,26.157,0.775,72,75,voix,53,0
26.216,29.293,3.077,76,93,voix,53,0
30.126,30.425,0.299,74,71,voix,53,0
30.543,31.053,0.51,72,86,voix,53,0
30.96,31.296,0.336,74,69,voix,53,0
31.376,31.769,0.393,76,93,voix,53,0
31.793,32.64,0.847,72,93,voix,53,0
32.626,33.96,1.334,69,80,voix,53,0
34.249,36.994,2.745,64,80,voix,53,0
37.328,38.129,0.802,76,95,voix,53,0
38.161,38.919,0.757,72,84,voix,53,0
38.909,42.114,3.205,74,84,voix,53,0
42.905,43.202,0.297,72,80,voix,53,0
43.279,43.612,0.334,69,80,voix,53,0
43.696,44.024,0.328,72,80,voix,53,0
44.07,44.403,0.333,69,80,voix,53,0
44.486,45.153,0.667,72,80,voix,53,0
45.32,49.584,4.264,71,80,voix,53,0
50.309,50.976,0.667,76,80,voix,53,0
51.143,51.476,0.333,72,80,voix,53,0
51.559,51.893,0.334,76,80,voix,53,0
51.977,52.515,0.539,76,80,voix,53,0
52.681,54.389,1.707,76,80,voix,53,0
55.47,55.769,0.299,74,71,voix,53,0
55.887,56.355,0.467,72,86,voix,53,0
56.261,56.598,0.337,74,69,voix,53,0
56.678,56.941,0.264,76,93,voix,53,0
56.967,57.814,0.847,72,93,voix,53,0
57.8,59.133,1.333,69,80,voix,53,0
59.467,62.253,2.786,64,80,voix,53,0
63.419,64.086,0.667,64,80,voix,53,0
64.25399999999999,64.921,0.668,67,79,voix,53,0
64.937,65.265,0.328,64,79,voix,53,0
65.29,65.682,0.392,67,78,voix,53,0
65.706,66.536,0.83,69,93,voix,53,0
66.54,67.394,0.854,72,78,voix,53,0
67.373,67.765,0.392,76,73,voix,53,0
67.79,68.929,1.139,74,77,voix,53,0
68.929,70.419,1.49,72,86,voix,53,0
70.45,76.459,6.009,69,107,voix,53,0
81.648,81.964,0.316,76,80,voix,53,0
82.076,82.519,0.444,76,80,voix,53,0
82.631,83.076,0.445,72,80,voix,53,0
83.187,86.264,3.077,76,93,voix,53,0
87.097,87.396,0.299,74,71,voix,53,0
87.514,87.981,0.467,72,86,voix,53,0
87.888,88.224,0.336,74,69,voix,53,0
88.304,88.609,0.305,76,93,voix,53,0
88.621,89.44,0.819,72,93,voix,53,0
89.426,90.76,1.334,69,80,voix,53,0
91.093,93.88,2.786,64,80,voix,53,0
94.212,94.989,0.776,76,95,voix,53,0
95.005,95.761,0.756,72,84,voix,53,0
95.752,98.956,3.205,74,84,voix,53,0
99.748,100.038,0.29,72,80,voix,53,0
100.121,100.455,0.334,69,80,voix,53,0
100.539,100.861,0.323,72,80,voix,53,0
100.912,101.245,0.333,69,80,voix,53,0
101.329,101.995,0.667,72,80,voix,53,0
102.162,106.402,4.239,71,80,voix,53,0
107.152,107.776,0.624,76,80,voix,53,0
107.943,108.276,0.333,72,80,voix,53,0
108.359,108.693,0.334,76,80,voix,53,0
108.777,109.358,0.581,76,80,voix,53,0
109.524,111.274,1.75,76,80,voix,53,0
112.313,112.612,0.299,74,71,voix,53,0
112.73,113.197,0.467,72,86,voix,53,0
113.104,113.441,0.337,74,69,voix,53,0
113.52,113.827,0.306,76,93,voix,53,0
113.852,114.699,0.847,72,93,voix,53,0
114.685,116.018,1.333,69,80,voix,53,0
116.352,119.053,2.701,64,80,voix,53,0
120.219,120.886,0.667,64,80,voix,53,0
121.054,121.818,0.764,67,79,voix,53,0
121.844,122.107,0.264,64,79,voix,53,0
122.133,122.524,0.392,67,78,voix,53,0
122.549,123.379,0.83,69,93,voix,53,0
123.383,123.853,0.47,72,78,voix,53,0
123.832,124.223,0.392,76,73,voix,53,0
124.249,125.499,1.25,74,77,voix,53,0
125.499,127.048,1.549,72,86,voix,53,0
127.079,142.199,15.12,69,107,voix,53,0
1.0,1.46,0.46,51,98,gtr,24,1
1.374,1.697,0.323,48,69,gtr,24,1
1.79,2.29,0.5,51,77,gtr,24,1
2.207,2.481,0.274,50,71,gtr,24,1
2.624,3.004,0.38,48,75,gtr,24,1
2.997,3.22,0.223,45,57,gtr,24,1
3.415,3.858,0.443,48,50,gtr,24,1
3.789,4.0649999999999995,0.277,50,77,gtr,24,1
6.204,6.329,0.125,45,69,gtr,24,1
4.205,6.578,2.373,52,79,gtr,24,1
6.619,7.061,0.442,48,82,gtr,24,1
6.951,7.27,0.319,50,82,gtr,24,1
7.368,8.472999999999999,1.105,52,78,gtr,24,1
8.949,9.462,0.514,69,93,gtr,24,1
9.366,9.665,0.299,65,71,gtr,24,1
9.767,10.169,0.403,62,76,gtr,24,1
10.114,10.467,0.354,59,62,gtr,24,1
10.53,11.018,0.488,67,89,gtr,24,1
10.905,11.217,0.312,64,66,gtr,24,1
11.321,11.799,0.478,60,37,gtr,24,1
11.695,11.976,0.281,57,86,gtr,24,1
12.112,12.866,0.754,54,82,gtr,24,1
12.112,13.402,1.29,40,80,gtr,24,1
12.903,13.668,0.765,56,84,gtr,24,1
13.693,14.461,0.768,54,84,gtr,24,1
14.448,15.215,0.767,56,84,gtr,24,1
15.274,16.057000000000002,0.782,54,84,gtr,24,1
13.693,16.152,2.459,40,80,gtr,24,1
16.028,16.768,0.741,56,89,gtr,24,1
16.814,17.933,1.119,54,79,gtr,24,1
16.814,17.933,1.119,60,77,gtr,24,1
16.814,17.933,1.119,64,91,gtr,24,1
16.814,17.933,1.119,45,86,gtr,24,1
18.266,19.6,1.334,56,79,gtr,24,1
18.266,19.6,1.334,64,98,gtr,24,1
18.266,19.6,1.334,47,53,gtr,24,1
18.266,19.6,1.334,62,75,gtr,24,1
19.933,21.266,1.333,54,79,gtr,24,1
19.933,21.266,1.333,60,77,gtr,24,1
19.933,21.266,1.333,64,91,gtr,24,1
19.933,21.266,1.333,45,86,gtr,24,1
21.6,22.933,1.333,62,75,gtr,24,1
21.6,22.933,1.333,47,53,gtr,24,1
21.6,22.933,1.333,56,79,gtr,24,1
21.6,22.933,1.333,64,98,gtr,24,1
23.266,24.386,1.12,60,77,gtr,24,1
23.266,24.386,1.12,64,91,gtr,24,1
23.266,24.386,1.12,45,86,gtr,24,1
23.266,24.386,1.12,54,79,gtr,24,1
24.72,25.882,1.162,47,53,gtr,24,1
24.72,25.882,1.162,64,98,gtr,24,1
24.72,25.882,1.162,56,79,gtr,24,1
24.72,25.882,1.162,62,75,gtr,24,1
26.216,27.506,1.29,54,79,gtr,24,1
26.216,27.506,1.29,60,77,gtr,24,1
26.216,27.506,1.29,64,91,gtr,24,1
26.216,27.506,1.29,45,86,gtr,24,1
27.626,28.96,1.334,62,75,gtr,24,1
27.626,28.96,1.334,47,53,gtr,24,1
27.626,28.96,1.334,56,79,gtr,24,1
27.626,28.96,1.334,64,98,gtr,24,1
29.293,30.626,1.333,54,79,gtr,24,1
29.293,30.626,1.333,45,86,gtr,24,1
29.293,30.626,1.333,60,77,gtr,24,1
29.293,30.626,1.333,64,91,gtr,24,1
30.96,32.293,1.333,62,75,gtr,24,1
30.96,32.293,1.333,64,98,gtr,24,1
30.96,32.293,1.333,47,53,gtr,24,1
30.96,32.293,1.333,56,79,gtr,24,1
32.626,33.96,1.334,64,91,gtr,24,1
32.626,33.96,1.334,45,86,gtr,24,1
32.626,33.96,1.334,54,79,gtr,24,1
32.626,33.96,1.334,60,77,gtr,24,1
34.249,35.412,1.163,47,53,gtr,24,1
34.249,35.412,1.163,62,75,gtr,24,1
34.249,35.412,1.163,56,79,gtr,24,1
34.249,35.412,1.163,64,98,gtr,24,1
35.747,36.994,1.247,60,77,gtr,24,1
35.747,36.994,1.247,45,86,gtr,24,1
35.747,36.994,1.247,64,91,gtr,24,1
35.747,36.994,1.247,54,79,gtr,24,1
37.328,37.994,0.667,62,82,gtr,24,1
37.328,37.994,0.667,47,86,gtr,24,1
37.328,37.994,0.667,56,77,gtr,24,1
37.328,37.994,0.667,64,86,gtr,24,1
38.161,38.827,0.666,60,84,gtr,24,1
38.161,38.827,0.666,64,79,gtr,24,1
38.161,38.827,0.666,54,82,gtr,24,1
38.161,38.827,0.666,45,84,gtr,24,1
38.909,39.922,1.013,65,91,gtr,24,1
38.909,39.922,1.013,57,98,gtr,24,1
38.909,40.199,1.29,50,80,gtr,24,1
39.978,40.199,0.222,67,95,gtr,24,1
39.978,40.199,0.222,58,89,gtr,24,1
40.255,40.477,0.222,59,98,gtr,24,1
40.255,40.477,0.222,68,98,gtr,24,1
40.533,41.545,1.012,60,78,gtr,24,1
40.533,41.545,1.012,69,86,gtr,24,1
41.602,41.781,0.179,70,93,gtr,24,1
41.837,42.059,0.222,61,74,gtr,24,1
41.837,42.059,0.222,71,77,gtr,24,1
42.114,42.781,0.667,50,80,gtr,24,1
42.114,43.362,1.248,65,80,gtr,24,1
42.114,43.362,1.248,60,80,gtr,24,1
42.905,43.528,0.623,52,80,gtr,24,1
43.696,44.32,0.624,64,80,gtr,24,1
43.696,44.32,0.624,53,80,gtr,24,1
44.486,45.153,0.667,63,80,gtr,24,1
44.486,45.153,0.667,54,80,gtr,24,1
45.736,46.07,0.334,59,80,gtr,24,1
46.153,46.358,0.205,64,80,gtr,24,1
45.32,46.525,1.205,44,80,gtr,24,1
45.32,46.525,1.205,52,80,gtr,24,1
46.442,46.775,0.333,63,80,gtr,24,1
46.809,47.064,0.255,62,80,gtr,24,1
47.147,47.48,0.333,59,80,gtr,24,1
47.564,47.897,0.333,66,80,gtr,24,1
46.809,48.064,1.255,47,80,gtr,24,1
46.809,48.064,1.255,51,80,gtr,24,1
46.809,48.064,1.255,57,80,gtr,24,1
47.98,48.314,0.334,65,80,gtr,24,1
48.397,48.73,0.333,52,80,gtr,24,1
48.814,49.104,0.29,40,80,gtr,24,1
49.188,49.521,0.334,49,80,gtr,24,1
48.397,49.584,1.187,64,80,gtr,24,1
48.397,49.584,1.187,56,80,gtr,24,1
48.397,49.584,1.187,59,80,gtr,24,1
49.551,49.809,0.258,48,80,gtr,24,1
49.893,50.226,0.333,47,80,gtr,24,1
49.893,50.226,0.333,61,80,gtr,24,1
49.893,50.226,0.333,55,80,gtr,24,1
49.893,50.226,0.333,64,80,gtr,24,1
50.309,51.309,1.0,46,80,gtr,24,1
50.309,51.309,1.0,56,80,gtr,24,1
50.309,51.309,1.0,62,80,gtr,24,1
51.559,52.765,1.206,60,77,gtr,24,1
51.559,52.765,1.206,45,86,gtr,24,1
51.559,52.765,1.206,64,91,gtr,24,1
51.559,52.765,1.206,54,79,gtr,24,1
53.098,54.389,1.29,62,75,gtr,24,1
53.098,54.389,1.29,64,98,gtr,24,1
53.098,54.389,1.29,47,53,gtr,24,1
53.098,54.389,1.29,56,79,gtr,24,1
54.68,55.97,1.29,64,91,gtr,24,1
54.68,55.97,1.29,45,86,gtr,24,1
54.68,55.97,1.29,60,77,gtr,24,1
54.68,55.97,1.29,54,79,gtr,24,1
56.261,57.467,1.206,56,79,gtr,24,1
56.261,57.467,1.206,62,75,gtr,24,1
56.261,57.467,1.206,64,98,gtr,24,1
56.261,57.467,1.206,47,53,gtr,24,1
57.8,59.133,1.333,60,77,gtr,24,1
57.8,59.133,1.333,64,91,gtr,24,1
57.8,59.133,1.333,45,86,gtr,24,1
57.8,59.133,1.333,54,79,gtr,24,1
59.467,60.586,1.119,56,79,gtr,24,1
59.467,60.586,1.119,64,98,gtr,24,1
59.467,60.586,1.119,47,53,gtr,24,1
59.467,60.586,1.119,62,75,gtr,24,1
60.919,61.419,0.499,60,80,gtr,24,1
61.544,61.711,0.167,62,80,gtr,24,1
61.754,61.976,0.222,64,80,gtr,24,1
62.03,62.253,0.223,66,80,gtr,24,1
60.919,62.253,1.334,45,80,gtr,24,1
60.919,62.253,1.334,52,80,gtr,24,1
62.308,63.253,0.945,68,80,gtr,24,1
62.586,63.919,1.333,50,80,gtr,24,1
62.586,63.919,1.333,54,80,gtr,24,1
62.586,63.919,1.333,60,80,gtr,24,1
63.419,64.086,0.667,69,80,gtr,24,1
64.25399999999999,65.04,0.786,52,80,gtr,24,1
64.25399999999999,65.04,0.786,43,80,gtr,24,1
64.25399999999999,65.373,1.119,60,80,gtr,24,1
65.29,65.623,0.333,52,80,gtr,24,1
65.706,66.373,0.667,60,80,gtr,24,1
65.706,66.373,0.667,48,80,gtr,24,1
65.706,66.373,0.667,64,80,gtr,24,1
66.54,67.206,0.666,45,80,gtr,24,1
66.54,67.206,0.666,64,80,gtr,24,1
66.54,67.206,0.666,69,80,gtr,24,1
67.373,68.672,1.299,66,80,gtr,24,1
67.373,68.672,1.299,69,80,gtr,24,1
67.373,68.672,1.299,50,80,gtr,24,1
67.373,68.672,1.299,57,80,gtr,24,1
68.929,70.117,1.188,50,80,gtr,24,1
68.929,70.117,1.188,60,80,gtr,24,1
68.929,70.117,1.188,65,80,gtr,24,1
68.929,70.117,1.188,69,80,gtr,24,1
68.929,70.117,1.188,43,80,gtr,24,1
70.45,71.117,0.667,52,80,gtr,24,1
70.45,71.117,0.667,64,80,gtr,24,1
70.45,71.117,0.667,45,80,gtr,24,1
70.45,71.117,0.667,69,80,gtr,24,1
70.45,71.117,0.667,60,80,gtr,24,1
71.284,71.617,0.333,67,80,gtr,24,1
71.7,72.034,0.334,66,80,gtr,24,1
72.117,72.45,0.333,67,80,gtr,24,1
72.534,72.739,0.205,69,80,gtr,24,1
72.822,73.489,0.667,66,80,gtr,24,1
73.656,74.279,0.623,45,80,gtr,24,1
73.656,74.279,0.623,64,80,gtr,24,1
73.656,74.279,0.623,60,80,gtr,24,1
73.656,74.279,0.623,52,80,gtr,24,1
74.446,74.759,0.313,50,80,gtr,24,1
74.821,75.117,0.296,48,80,gtr,24,1
75.194,75.528,0.334,50,80,gtr,24,1
75.611,75.944,0.333,52,80,gtr,24,1
75.194,76.443,1.248,56,80,gtr,24,1
76.028,76.608,0.58,48,80,gtr,24,1
76.776,78.066,1.29,64,91,gtr,24,1
76.776,78.066,1.29,45,86,gtr,24,1
76.776,78.066,1.29,54,79,gtr,24,1
76.776,78.066,1.29,60,77,gtr,24,1
78.4,79.733,1.333,56,79,gtr,24,1
78.4,79.733,1.333,64,98,gtr,24,1
78.4,79.733,1.333,47,53,gtr,24,1
78.4,79.733,1.333,62,75,gtr,24,1
80.066,81.4,1.334,64,91,gtr,24,1
80.066,81.4,1.334,45,86,gtr,24,1
80.066,81.4,1.334,60,77,gtr,24,1
80.066,81.4,1.334,54,79,gtr,24,1
81.648,82.853,1.205,47,53,gtr,24,1
81.648,82.853,1.205,56,79,gtr,24,1
81.648,82.853,1.205,62,75,gtr,24,1
81.648,82.853,1.205,64,98,gtr,24,1
83.187,84.52,1.333,64,91,gtr,24,1
83.187,84.52,1.333,45,86,gtr,24,1
83.187,84.52,1.333,54,79,gtr,24,1
83.187,84.52,1.333,60,77,gtr,24,1
84.64,85.973,1.334,62,75,gtr,24,1
84.64,85.973,1.334,47,53,gtr,24,1
84.64,85.973,1.334,56,79,gtr,24,1
84.64,85.973,1.334,64,98,gtr,24,1
86.264,87.596,1.333,64,91,gtr,24,1
86.264,87.596,1.333,54,79,gtr,24,1
86.264,87.596,1.333,60,77,gtr,24,1
86.264,87.596,1.333,45,86,gtr,24,1
87.888,89.093,1.205,62,75,gtr,24,1
87.888,89.093,1.205,47,53,gtr,24,1
87.888,89.093,1.205,56,79,gtr,24,1
87.888,89.093,1.205,64,98,gtr,24,1
89.426,90.76,1.334,45,86,gtr,24,1
89.426,90.76,1.334,54,79,gtr,24,1
89.426,90.76,1.334,60,77,gtr,24,1
89.426,90.76,1.334,64,91,gtr,24,1
91.093,92.212,1.119,47,53,gtr,24,1
91.093,92.212,1.119,62,75,gtr,24,1
91.093,92.212,1.119,56,79,gtr,24,1
91.093,92.212,1.119,64,98,gtr,24,1
92.547,93.88,1.333,60,77,gtr,24,1
92.547,93.88,1.333,54,79,gtr,24,1
92.547,93.88,1.333,64,91,gtr,24,1
92.547,93.88,1.333,45,86,gtr,24,1
94.212,94.879,0.667,62,82,gtr,24,1
94.212,94.879,0.667,47,86,gtr,24,1
94.212,94.879,0.667,56,77,gtr,24,1
94.212,94.879,0.667,64,86,gtr,24,1
95.005,95.67,0.665,60,84,gtr,24,1
95.005,95.67,0.665,64,79,gtr,24,1
95.005,95.67,0.665,54,82,gtr,24,1
95.005,95.67,0.665,45,84,gtr,24,1
95.752,96.042,0.29,65,80,gtr,24,1
95.752,96.376,0.624,57,80,gtr,24,1
96.126,96.459,0.333,66,80,gtr,24,1
96.542,96.931,0.389,58,89,gtr,24,1
96.542,96.931,0.389,67,95,gtr,24,1
95.752,96.999,1.247,50,80,gtr,24,1
96.943,97.308,0.366,68,98,gtr,24,1
96.943,97.308,0.366,59,98,gtr,24,1
97.333,97.777,0.444,60,80,gtr,24,1
97.333,97.777,0.444,53,80,gtr,24,1
97.333,97.777,0.444,69,80,gtr,24,1
97.889,98.333,0.445,70,80,gtr,24,1
97.889,98.333,0.445,55,80,gtr,24,1
98.444,98.845,0.401,56,80,gtr,24,1
98.444,98.845,0.401,71,80,gtr,24,1
98.957,99.581,0.624,50,80,gtr,24,1
98.957,100.205,1.248,60,80,gtr,24,1
98.957,100.205,1.248,65,80,gtr,24,1
99.748,100.371,0.623,52,80,gtr,24,1
100.539,101.162,0.624,64,80,gtr,24,1
100.539,101.162,0.624,53,80,gtr,24,1
101.329,101.995,0.667,63,80,gtr,24,1
101.329,101.995,0.667,54,80,gtr,24,1
102.536,102.87,0.334,59,80,gtr,24,1
102.953,103.158,0.205,64,80,gtr,24,1
102.162,103.324,1.162,52,80,gtr,24,1
102.162,103.324,1.162,44,80,gtr,24,1
103.242,103.536,0.294,63,80,gtr,24,1
103.616,103.949,0.334,62,80,gtr,24,1
104.032,104.355,0.323,59,80,gtr,24,1
104.383,104.697,0.314,66,80,gtr,24,1
103.616,104.864,1.248,51,80,gtr,24,1
103.616,104.864,1.248,57,80,gtr,24,1
103.616,104.864,1.248,47,80,gtr,24,1
104.78,105.114,0.334,65,80,gtr,24,1
105.197,105.509,0.312,52,80,gtr,24,1
105.53,105.819,0.289,40,80,gtr,24,1
105.902,106.236,0.334,49,80,gtr,24,1
105.197,106.402,1.205,56,80,gtr,24,1
105.197,106.402,1.205,64,80,gtr,24,1
105.197,106.402,1.205,59,80,gtr,24,1
106.319,106.652,0.333,48,80,gtr,24,1
106.736,107.069,0.333,61,80,gtr,24,1
106.736,107.069,0.333,55,80,gtr,24,1
106.736,107.069,0.333,64,80,gtr,24,1
106.736,107.069,0.333,47,80,gtr,24,1
107.152,108.109,0.957,46,80,gtr,24,1
107.152,108.109,0.957,56,80,gtr,24,1
107.152,108.109,0.957,62,80,gtr,24,1
108.359,109.608,1.248,45,86,gtr,24,1
108.359,109.608,1.248,54,79,gtr,24,1
108.359,109.608,1.248,64,91,gtr,24,1
108.359,109.608,1.248,60,77,gtr,24,1
109.941,111.274,1.333,62,75,gtr,24,1
109.941,111.274,1.333,64,98,gtr,24,1
109.941,111.274,1.333,47,53,gtr,24,1
109.941,111.274,1.333,56,79,gtr,24,1
111.608,112.813,1.205,45,86,gtr,24,1
111.608,112.813,1.205,64,91,gtr,24,1
111.608,112.813,1.205,54,79,gtr,24,1
111.608,112.813,1.205,60,77,gtr,24,1
113.104,114.352,1.248,56,79,gtr,24,1
113.104,114.352,1.248,64,98,gtr,24,1
113.104,114.352,1.248,47,53,gtr,24,1
113.104,114.352,1.248,62,75,gtr,24,1
114.685,116.018,1.333,64,91,gtr,24,1
114.685,116.018,1.333,45,86,gtr,24,1
114.685,116.018,1.333,54,79,gtr,24,1
114.685,116.018,1.333,60,77,gtr,24,1
116.352,117.386,1.034,56,79,gtr,24,1
116.352,117.386,1.034,64,98,gtr,24,1
116.352,117.386,1.034,47,53,gtr,24,1
116.352,117.386,1.034,62,75,gtr,24,1
117.719,118.219,0.5,60,80,gtr,24,1
118.344,118.511,0.167,62,80,gtr,24,1
118.554,118.776,0.222,64,80,gtr,24,1
118.83,119.053,0.223,66,80,gtr,24,1
117.719,119.053,1.334,45,80,gtr,24,1
117.719,119.053,1.334,52,80,gtr,24,1
119.108,120.053,0.945,68,80,gtr,24,1
119.386,120.719,1.333,50,80,gtr,24,1
119.386,120.719,1.333,54,80,gtr,24,1
119.386,120.719,1.333,60,80,gtr,24,1
120.219,120.886,0.667,69,80,gtr,24,1
121.054,121.918,0.864,43,80,gtr,24,1
121.054,121.918,0.864,52,80,gtr,24,1
121.054,122.216,1.162,60,80,gtr,24,1
122.133,122.466,0.333,52,80,gtr,24,1
122.549,123.216,0.667,48,80,gtr,24,1
122.549,123.216,0.667,64,80,gtr,24,1
122.549,123.216,0.667,60,80,gtr,24,1
123.383,123.665,0.282,69,80,gtr,24,1
123.383,123.665,0.282,45,80,gtr,24,1
123.383,123.665,0.282,64,80,gtr,24,1
123.832,125.165,1.333,50,80,gtr,24,1
123.832,125.165,1.333,69,80,gtr,24,1
123.832,125.165,1.333,57,80,gtr,24,1
123.832,125.165,1.333,66,80,gtr,24,1
125.499,126.746,1.247,43,80,gtr,24,1
125.499,126.746,1.247,69,80,gtr,24,1
125.499,126.746,1.247,65,80,gtr,24,1
125.499,126.746,1.247,60,80,gtr,24,1
125.499,126.746,1.247,50,80,gtr,24,1
127.079,127.746,0.667,45,80,gtr,24,1
127.079,127.746,0.667,52,80,gtr,24,1
127.914,128.499,0.586,50,80,gtr,24,1
128.539,128.736,0.198,48,80,gtr,24,1
128.746,129.333,0.587,50,80,gtr,24,1
129.371,129.569,0.198,52,80,gtr,24,1
127.079,130.204,3.125,64,80,gtr,24,1
127.079,130.204,3.125,60,80,gtr,24,1
127.079,130.204,3.125,57,80,gtr,24,1
129.579,130.246,0.667,48,80,gtr,24,1
130.414,131.746,1.333,50,75,gtr,24,1
130.414,131.746,1.333,62,82,gtr,24,1
130.414,131.746,1.333,57,82,gtr,24,1
130.414,131.746,1.333,66,82,gtr,24,1
132.079,133.413,1.334,65,89,gtr,24,1
132.079,133.413,1.334,60,91,gtr,24,1
132.079,133.413,1.334,57,95,gtr,24,1
132.079,133.413,1.334,43,93,gtr,24,1
132.079,133.413,1.334,50,93,gtr,24,1
133.746,135.079,1.333,60,66,gtr,24,1
133.746,135.079,1.333,64,82,gtr,24,1
133.746,135.079,1.333,55,78,gtr,24,1
133.746,135.079,1.333,48,66,gtr,24,1
135.414,136.746,1.333,41,102,gtr,24,1
135.414,136.746,1.333,63,71,gtr,24,1
135.414,136.746,1.333,48,76,gtr,24,1
135.414,136.746,1.333,57,84,gtr,24,1
136.866,138.2,1.334,58,91,gtr,24,1
136.866,138.2,1.334,46,98,gtr,24,1
136.866,138.2,1.334,62,73,gtr,24,1
136.866,138.2,1.334,53,91,gtr,24,1
138.533,139.866,1.333,50,89,gtr,24,1
138.533,139.866,1.333,40,91,gtr,24,1
138.533,139.866,1.333,61,73,gtr,24,1
138.533,139.866,1.333,56,102,gtr,24,1
140.2,140.866,0.666,45,80,gtr,24,1
140.2,140.866,0.666,52,80,gtr,24,1
141.033,141.62,0.587,50,80,gtr,24,1
141.658,141.856,0.198,48,80,gtr,24,1
141.866,142.453,0.587,50,80,gtr,24,1
142.491,142.689,0.198,52,80,gtr,24,1
140.2,143.325,3.125,57,80,gtr,24,1
140.2,143.325,3.125,64,80,gtr,24,1
140.2,143.325,3.125,60,80,gtr,24,1
142.7,143.366,0.666,47,80,gtr,24,1
143.533,144.2,0.667,45,98,gtr,24,1
144.366,145.033,0.667,54,91,gtr,24,1
145.2,145.866,0.666,52,100,gtr,24,1
143.533,146.658,3.125,57,80,gtr,24,1
143.533,146.658,3.125,64,80,gtr,24,1
143.533,146.658,3.125,60,80,gtr,24,1
146.033,146.749,0.716,56,105,gtr,24,1
146.952,148.285,1.334,57,109,gtr,24,1
148.746,157.032,8.285,64,84,gtr,24,1
148.746,157.032,8.285,69,86,gtr,24,1
148.746,157.032,8.285,45,75,gtr,24,1
148.746,157.032,8.285,54,79,gtr,24,1
148.746,157.032,8.285,60,71,gtr,24,1
0.0,0.5,0.5,69,0,shadow,0,15
